outcome,label,pct,lo,hi,p_raw,events,p_holm
ped_ksi,Pedestrian KSI (main effect),-25.76933617415129,-42.214667298416444,-4.643770410009907,0.01969345103832909,1143,0.07877380415331636
ped_turn_row,"Turning driver, ped has right-of-way (mechanism)",-36.826240156844314,-55.10675701285363,-11.1019015965638,0.008408612297654106,579,0.04204306148827053
ped_no_row,Ped without right-of-way (falsification),4.844745709316567,-36.88366260327306,74.16125770665035,0.85502094560751,296,1.0
veh_only,Vehicle occupants only (placebo),2.1042571454100267,-24.651525256340033,38.36085418694197,0.8931506279068346,835,1.0
ped_older,Pedestrian aged 65+ (pre-specified subgroup),-42.40503387704373,-61.04319250820558,-14.84979554848822,0.005677283212150774,437,0.034063699272904646
cyc_ksi,Cyclist KSI (pre-specified subgroup),-29.999251970154063,-58.91422065543763,19.265225168145705,0.18953863109898084,293,0.5686158932969425
