outcome,specification,effect_percent,ci95_lower_percent,ci95_upper_percent,p_value_unadjusted,n_collisions,p_value_holm_adjusted
ped_ksi,Pedestrian KSI (main effect),-25.76933617415129,-42.21466729841645,-4.643770410009907,0.019693451038329,1143,0.0787738041533163
ped_turn_row,"Turning driver, ped has right-of-way (mechanism)",-36.82624015684432,-55.10675701285363,-11.1019015965638,0.0084086122976541,579,0.0420430614882705
ped_no_row,Ped without right-of-way (falsification),4.844745709316567,-36.88366260327306,74.16125770665035,0.85502094560751,296,1.0
veh_only,Vehicle occupants only (placebo),2.1042571454100267,-24.651525256340037,38.36085418694197,0.8931506279068346,835,1.0
ped_older,Pedestrian aged 65+ (pre-specified subgroup),-42.40503387704373,-61.04319250820558,-14.84979554848822,0.0056772832121507,437,0.0340636992729046
cyc_ksi,Cyclist KSI (pre-specified subgroup),-29.999251970154063,-58.91422065543763,19.265225168145705,0.1895386310989808,293,0.5686158932969425
